DATA.ELEMENT,COMPUTED.COLUMN.CODE,CONVERTED.FROM,DATA.TYPE,DATABASE.USAGE.TYPE,DEFAULT.DISPLAY.SECURE,DEFAULT.DISPLAY.SIZE,DEFAULT.INPUT.PROMPT,DEFAULT.SAMPLE.DATA,DEFAULT.ZERO.PAD,DERIVED.SEC.PTR,DT1,DT2,DT3,DT4,DT5,ELEMENT.ASSOC.NAME,ELEMENT.ASSOC.TYPE,ELEMENT.POINTED.FROM,ELEMENT.POINTED.TO,FIELD.PLACEMENT,INFORM.CONVERSION.STRING,INFORM.FORMAT.STRING,MAXIMUM.STORAGE.SIZE,PURPOSE,REPORT.HEADER,SOURCE,TRUNCATION.FLAG,VALIDATION.TABLE,TOOLCDD.ADD.DATE,TOOLCDD.ADD.OPERATOR,TOOLCDD.CHANGE.DATE,TOOLCDD.CHANGE.OPERATOR,DataDatetime
TEMPLATE_ENTRY_DATE,,,D,,,10,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_MULTI-VALUED_TEXT,,,S,A,,50,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_NUMERIC,,,,N,,8,,,,,,2,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TEXT_KEY,,,,K,,1000,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TEXT,,,,,,1000,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
TEMPLATE_ENTRY_TIME,,,T,,,10,,,,,,,,,,ASSOCIATION_NAME,ASSOCIATION_TYPE,,,,,,,,,SOURCE,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
DataDatetime,,,DT,DT,,26,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
Audit_Key,,,N,,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
EffectiveDatetime,,,DT,DT,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
ExpirationDatetime,,,DT,DT,,8,,,,,,,,,,,,,,,,,,,,SYS_CCDW,,,5/28/2020,CCDW,5/28/2020,CCDW,2020-05-28T00:00:00.000Z
