COURSE.SECTIONS.ID,SEC.TERM,SEC.COURSE,SEC.NAME,SEC.NO,SEC.USER1,SEC.USER6,SEC.LOCATION,SEC.LOCATION.DESC.CC,SEC.CAPACITY,SEC.EVERY.STUDENT.COUNT,SEC.STUDENTS.COUNT,SEC.AUDIT.STUDENT.COUNT,SEC.ACAD.LEVEL,SEC.CRED.TYPE,SEC.MIN.CRED,SEC.MAX.CRED,SEC.BILLING.CRED,XSEC.FTE.COUNT,XSEC.FTE.CONTACT,SEC.CEUS,SEC.CONTACT.HOURS,SEC.COURSE.LEVELS,SEC.STATUS.ACTION1,SEC.STATUS,DataDatetime
28923,2017CE1,S16166,EMS-3046-17879,17879,TR,Y,OC,Off Campus,20,7,7,0,CE,CE,0,0,0,7,8,0.8,8,CCE,1,A,2018-03-03T02:06:15.494Z
28938,2017CE1,S24415,SAF-3010-17880,17880,TR,Y,OC,Off Campus,10,7,7,0,CE,CE,0,0,0,7,4,0.4,4,CCE,1,A,2018-03-03T02:06:15.572Z
28941,2017CE1,S24184,FIP-3019-17627,17627,TR,Y,OC,Off Campus,30,7,7,0,CE,CE,0,0,0,7,16,1.6,16,CCE,1,A,2018-03-03T02:06:15.603Z
28946,2017CE1,S22612,OSH-3003-17246,17246,TR,Y,OC,Off Campus,12,8,8,0,CE,CE,0,0,0,8,0,0,8,CCE,1,A,2018-03-03T02:06:15.619Z
28947,2017CE1,S22612,OSH-3003-17247,17247,TR,Y,OC,Off Campus,12,7,7,0,CE,CE,0,0,0,7,0,0,8,CCE,1,A,2018-03-03T02:06:15.634Z
28955,2017CE1,S24173,FIP-3007-17628,17628,TR,Y,OC,Off Campus,30,16,16,0,CE,CE,0,0,0,16,12,1.2,12,CCE,1,A,2018-03-03T02:06:15.681Z
28956,2017CE1,S24174,FIP-3008-17629,17629,TR,Y,OC,Off Campus,30,10,10,0,CE,CE,0,0,0,10,20,2,20,CCE,1,A,2018-03-03T02:06:15.681Z
28960,2017CE1,S15171,FIP-4729-17630,17630,TR,Y,OC,Off Campus,30,12,12,0,CE,CE,0,0,0,12,6,0.6,6,CCE,1,A,2018-03-03T02:06:15.713Z
28962,2017CE1,S15127,FIP-4728-17632,17632,TR,Y,OC,Off Campus,30,11,11,0,CE,CE,0,0,0,11,24,2.4,24,CCE,1,A,2018-03-03T02:06:15.728Z
28963,2017CE1,S24415,SAF-3010-17882,17882,TR,Y,MC,Main Campus,15,8,8,0,CE,CE,0,0,0,8,4,0.4,4,CCE,1,A,2018-03-03T02:06:15.728Z
28966,2017CE1,S16128,EMS-3200-17883,17883,TR,,OC,Off Campus,20,0,0,0,CE,CE,0,0,0,0,0,0,16,CCE,2,C,2018-03-03T02:06:15.744Z
