NON.COURSES.ID,NCRS.DESC,NCRS.SHORT.TITLE,NCRS.CAT.DESC.CC,NCRS.DESIRED.GRADES,NCRS.GRADE.SCHEME,NCRS.DESIRED.SCORE,NCRS.COURSE.EQUIVS,NCRS.MIN.SCORE,NCRS.MAX.SCORE,NCRS.TYPE,DataDatetime
TPWELD7999,HS Course ID 7999,Tech Prep Welding 7999,Other Test,,,93,321795,0,100,TEST,2017-08-24T22:02:56.254Z
ACA_111,"30+ hours coursework w/ GPA of 3.0 OR, Credentials =< AAS",ACA-111 College Student Succe,Other Test,,,0,314517,5555,5555,TEST,2017-08-24T22:02:56.254Z
DREW97,,WAIVER DRE 097,Placement,,,9999,322857,9999,9999,TEST,2017-08-24T22:02:56.254Z
COMESL,English as a Second Language Placement Test,COMPASS ESL,Placement,,,0,,0,100,TEST,2017-08-24T22:02:56.254Z
CPTAL,Math Placement Test,CPT Algebra,Placement,,,0,8,1,120,TEST,2017-08-24T22:02:56.254Z
TPCARPI,HS Course ID 7721 & 7722,Tech Prep Carpentry 7721&7722,Other Test,,,93,321788,0,100,TEST,2017-08-24T22:02:56.254Z
DREESSAY,,DRE Writeplacer Essay,Other Test,,,0,,0,8,TEST,2017-08-24T22:02:56.254Z
DMAW80,DMA 080 Waiver; completed DMA 080 at another CC,DMA 080 Waiver,Other Test,,,5555,321334,5555,5555,TEST,2017-08-24T22:02:56.254Z
COMCA,Math Placement Test,COMPASS College Algebra,Placement,,,0,262286,0,100,TEST,2017-08-24T22:02:56.254Z
APENG,Advanced Placement English,AP English Composition,Other Test,,CU,3,15,1,5,TEST,2017-08-24T22:02:56.254Z
SATMN,SAT Math No Credits,SATM NO Credit,Placement,,,0,332550,0,0,TEST,2017-08-24T22:02:56.254Z
CLEPMAT,=CLEP College Mathematics,CLEP College Math,Other Test,,CU,42,263004,20,80,TEST,2017-08-24T22:02:56.254Z
DMAW1050,,WAIVER DMA 010 - 050,Other Test,,,0,326408,8888,8888,TEST,2017-08-24T22:02:56.254Z
TPECHILDII,,Tech Prep Early Child Cred II,Other Test,,,80,263007,0,100,TEST,2017-08-24T22:02:56.254Z
ACTSS,ACT Social Science Admissions Test,ACT Social Science,Placement,,,0,,1,36,TEST,2017-08-24T22:02:56.254Z
12TPHORT,,Tech Prep Hort I&II 6841/6842,Other Test,,,93,316664,0,100,TEST,2017-08-24T22:02:56.254Z
APBIO,Advanced Placement Biology,AP Biology,Other Test,,CU,3,262476,1,5,TEST,2017-08-24T22:02:56.254Z
TPWELDIII,HS Course ID 7661and 7662 and 7999,Tech Prep Weld 7661+7662+7999,Other Test,,,93,321793,0,100,TEST,2017-08-24T22:02:56.270Z
TPCONSTII,HS Course ID 7722,Tech Prep Construction II,Other Test,,,80,262356,80,100,TEST,2017-08-24T22:02:56.270Z
PACTEN,,Pre ACT English No Credit,Placement,,,0,,0,0,TEST,2017-08-24T22:02:56.270Z
TPAGMECHII,,Tech Prep Ag Mechanics II,Other Test,,,80,264042,0,100,TEST,2017-08-24T22:02:56.270Z
PTWBIO,,Biology Waiver,Placement,,,9999,262480,9999,9999,TEST,2017-08-24T22:02:56.270Z
SAT16M,SAT 2016 Math,SAT 16 Math,Placement,,,530,332281,200,800,TEST,2017-08-24T22:02:56.270Z
TPSPMKTII,,TP Sports & Ent Marketing II,Other Test,,,93,317132,0,100,TEST,2017-08-24T22:02:56.270Z
PTWIA,,DO NOT USE Interm Alg Waiver,Placement,,,9999,10,9999,9999,TEST,2017-08-24T22:02:56.270Z
COMA,Math Placement Test,COMPASS Algebra,Placement,,,0,262285,0,100,TEST,2017-08-24T22:02:56.270Z
APWCIV,AP Western Civilization,AP Western Civilization I,Other Test,,,3,263001,1,5,TEST,2017-08-24T22:02:56.270Z
DMA010,Diagnostic Test for DMA010 Operations with Integer,DMA010 Operations W/ Integers,Other Test,,,7,321313,2,12,TEST,2017-08-24T22:02:56.270Z
PSATM,,PSAT Mathematics,Placement,,,47,"315584, 337969",0,100,TEST,2017-08-24T22:02:56.270Z
CLEPSOC,,CLEP Sociology,Other Test,,CU,50,262477,1,100,TEST,2017-08-24T22:02:56.270Z
CLEPBIO,,CLEP Biology,Other Test,,CU,50,317461,0,100,TEST,2017-08-24T22:02:56.270Z
CLEPENG,Freshman English,CLEP College Composition,Other Test,,CU,42,16,20,80,TEST,2017-08-24T22:02:56.270Z
CLEPSCI,,CLEP Natural Sciences,Other Test,,,42,264107,20,80,TEST,2017-08-24T22:02:56.270Z
COMT,Math Placement Test,COMPASS Trigonometry,Placement,,,0,,0,100,TEST,2017-08-24T22:02:56.270Z
DREW98,,WAIVER DRE 098,Placement,,,9999,322858,9999,9999,TEST,2017-08-24T22:02:56.270Z
PLANE,,PLAN English,Placement,,,15,316432,1,32,TEST,2017-08-24T22:02:56.270Z
MAT_271,ACT minimum score plus C or better on Pre-Calc,Pre-Calculus Waiver,Other Test,,,0,338667,5555,5555,TEST,2017-08-24T22:02:56.270Z
