ACAD.PROGRAMS.ID,ACPG.TITLE,ACPG.DEGREE,ACPG.ACAD.LEVEL,ACPG.TYPES,ACPG.MAJORS,ACPG.MINORS,ACPG.CIP,ACPG.CMPL.MONTHS,ACPG.TERM.LENGTH,ACPG.ACCRED.EXPIRE.DATE,ACPG.ACAD.STANDINGS,ACPG.ADDNL.CCDS,ACPG.ADDNL.MAJORS,ACPG.ADMIT.CAPACITY,ACPG.ADMIT.RULES,ACPG.APPLICATION.STATUS,ACPG.ALLOW.GRADUATION.FLAG,ACPG.GRADE.SCHEME,ACPG.STUDENT.SELECT.FLAG,ACPG.TRANSCRIPT.GROUPING,ACPG.LOCATIONS,ACPG.SCHOOLS,ACPG.DIVISIONS,DIV.DESC,ACPG.DEPTS,DEPTS.DESC,ACPG.START.DATE,ACPG.END.DATE,ACPG.CATALOGS,ACPG.APPROVAL.IDS,ACPG.APPROVAL.AGENCY.IDS,ACPG.APPROVAL.DATES,ACPG.STATUS,ACPG.STATUS.DATE,DataDatetime
AHS,Adult High School Program,,BSP,,,,,0,0,,,,,0,12270,AHS,Y,BSP,Y,AHS,MC,ACAD,,,UAHS,Adult High School Diploma,2001-08-04,,"2017, 2016, 2015, 2014B, 2014, 2013, 2012, 2002, 2001","0079192, , 0076481, 0019943, , , , , 0076468",", , , 12457, 16654, 16654, 16654, 16654, ","2017-07-26, , , , , , , , 2013-08-15",AL,2017-07-26,2017-08-28T22:05:01.883Z
BSKP,Basic Skills Plus (CE),,BSP,,,,,0,0,,,,,0,,,N,BSP,Y,BSP,,WKDEV,A00,Basic Skills,CEA20,Basic Skills Programs,,,2012,,,,,,2017-08-28T22:05:02.024Z
BSP,Basic Skills Program,,BSP,,,,,0,0,,,,,0,,,N,BSP,Y,BSP,,WKDEV,A00,Basic Skills,CEA20,Basic Skills Programs,1960-01-01,,"2017, 2016, 2015, 2014, 2013, 2002, 2001, 1997, CNV",,0019943,2002-02-07,A,2002-02-07,2017-08-28T22:05:02.414Z
C25260WG,Web Graphics,,CU,,,,,0,0,,,,,0,,,Y,CU,Y,CU,,ACAD,ETECH,Engineering and Information Technol,2526,Computer Information Systems,2007-05-03,2013-08-14,"2011, 2012, 2010, 2009, 2008, 2007, 2006","0079192, 0076735","0019844, 1118128","2017-07-12, 2007-04-25",I,2017-07-12,2017-08-28T22:05:02.289Z
C2526D,Information Systems/Networking Certificate,,CU,,,,,0,0,,,,,0,,,Y,CU,Y,CU,,ACAD,ETECH,Engineering and Information Technol,2526,Computer Information Systems,,,"2011, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1998, 1997, CNV",,,,,,2017-08-28T22:05:02.086Z
C30340,Professional Crafts - Jewelry - Hand Wrought Metals,,CU,,,,,0,0,,,,,0,,,Y,CU,Y,CU,,ACAD,CATEC,Commercial and Artistic Prod Tech,3034,Professional Crafts: Jewelry,2013-01-28,2013-02-05,2013,"0076468, 0076468",,"2013-02-05, 2013-01-28",I,2013-02-05,2017-08-28T22:05:01.868Z
C5522B,Teacher Associate,,CU,,,,,0,0,,,,,0,,,Y,CU,Y,CU,,ACAD,PTECH,Public Service Technologies,5522,Early Childhood Education,,,"2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1998, 1997, CNV",,,,,,2017-08-28T22:05:01.805Z
CONED,Continuing Education,,CE,,,,,0,0,,,,,0,,,N,CE,Y,CE,,,,,URCE,Registration - Con Ed,1960-01-01,,"2017, 2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 1997, CNV",,0019943,2002-02-07,A,2002-02-07,2017-08-28T22:05:02.039Z
D2526D,Information Systems/Networking Diploma,,CU,,,,,0,0,,,,,0,,,Y,CU,Y,CU,,ACAD,ETECH,Engineering and Information Technol,2526,Computer Information Systems,,,"2011, 2012, 2010, 2009, 2008, 2007, 2006, 2005, 2004, 2003, 2002, 2001, 2000, 1999, 1998, 1997, CNV",,,,,,2017-08-28T22:05:01.821Z
G-030,G-030,,CU,,,,,0,0,,,,,0,,,N,,Y,CU,,,,,DEPT,Default Dept for Conversion,,,CNV,,,,,,2017-08-28T22:05:01.758Z
