COURSE.SECTIONS.ID,SEC.TERM,SEC.COURSE,SEC.NAME,SEC.NO,SEC.USER1,SEC.USER6,SEC.LOCATION,SEC.LOCATION.DESC.CC,SEC.CAPACITY,SEC.EVERY.STUDENT.COUNT,SEC.STUDENTS.COUNT,SEC.AUDIT.STUDENT.COUNT,SEC.ACAD.LEVEL,SEC.CRED.TYPE,SEC.MIN.CRED,SEC.MAX.CRED,SEC.BILLING.CRED,XSEC.FTE.COUNT,XSEC.FTE.CONTACT,SEC.CEUS,SEC.CONTACT.HOURS,SEC.INSTR.METHODS,SEC.COURSE.LEVELS,SEC.STATUS.ACTION1,SEC.STATUS,SEC.START.DATE,SEC.CENSUS.DATES,SEC.END.DATE,X.SEC.DELIVERY.METHOD,X.SEC.DELIVERY.MODE,X.SEC.DELIVERY.MODIFIER,X.SEC.DELIVERY.NCIH.FLAG,DataDatetime
26951,2017CE1,S15622,MLA-3022-17101,17101,TR,Y,MC,Main Campus,18,24,24,0,CE,CE,0,0,0,10,207,20.7,207,CLASS,CCE,1,A,1/10/2017,1/17/2017,5/2/2017,TR,,,,2020-02-02T23:52:27.019Z
26960,2017CE1,S14785,CSP-4000-17251,17251,TR,,MC,Main Campus,24,4,4,0,CE,CE,0,0,0,0,6,0.6,6,CLASS,CCE,2,C,1/7/2017,1/7/2017,1/7/2017,TR,,,,2020-02-02T23:52:27.050Z
26962,2017CE1,S15804,SEF-3001-17201,17201,TR,Y,MC,Main Campus,24,16,16,0,CE,CE,0,0,0,14,8,0.8,8,CLASS,CCE,1,A,1/17/2017,1/17/2017,1/19/2017,TR,,,,2020-02-02T23:52:27.050Z
26968,2017CE1,S15804,SEF-3001-17202,17202,TR,Y,MC,Main Campus,24,12,12,0,CE,CE,0,0,0,10,8,0.8,8,CLASS,CCE,1,A,1/3/2017,1/3/2017,1/5/2017,TR,,,,2020-02-02T23:52:27.081Z
26973,2017CE1,L19784,CSP-9917-02010,2010,TR,,MC,Main Campus,24,19,19,0,CE,CE,0,0,0,0,4,0.4,4,CLASS,CCE,2,C,1/9/2017,1/9/2017,1/9/2017,TR,,,,2020-02-02T23:52:27.097Z
26979,2017CE1,S14785,CSP-4000-17300,17300,TR,Y,MC,Main Campus,14,9,9,0,CE,CE,0,0,0,5,40,4,40,CLASS,CCE,1,A,12/5/2016,12/5/2016,3/6/2017,TR,,,,2020-02-02T23:52:27.113Z
26989,2017CE1,S14785,CSP-4000-17301,17301,TR,Y,MC,Main Campus,14,12,12,0,CE,CE,0,0,0,10,40,4,40,CLASS,CCE,1,A,12/5/2016,12/12/2016,3/6/2017,TR,,,,2020-02-02T23:52:27.160Z
26992,2017CE1,S14785,CSP-4000-17302,17302,TR,,MC,Main Campus,10,1,1,0,CE,CE,0,0,0,0,9,0.9,9,CLASS,CCE,2,C,2/14/2017,2/14/2017,2/28/2017,TR,,,,2020-02-02T23:52:27.160Z
26997,2017CE1,S14785,CSP-4000-17303,17303,TR,Y,MC,Main Campus,14,10,10,0,CE,CE,0,0,0,7,50,5,50,CLASS,CCE,1,A,12/7/2016,12/7/2016,2/22/2017,TR,,,,2020-02-02T23:52:27.191Z
26998,2017CE1,S14785,CSP-4000-17304,17304,TR,Y,MC,Main Campus,14,9,9,0,CE,CE,0,0,0,8,40,4,40,CLASS,CCE,1,A,12/8/2016,12/8/2016,2/23/2017,TR,,,,2020-02-02T23:52:27.191Z
26999,2017CE1,S14785,CSP-4000-17305,17305,TR,Y,MC,Main Campus,14,11,11,0,CE,CE,0,0,0,7,50,5,50,CLASS,CCE,1,A,12/9/2016,12/9/2016,2/24/2017,TR,,,,2020-02-02T23:52:27.191Z
27000,2017CE1,S14785,CSP-4000-17306,17306,TR,,MC,Main Campus,9,1,1,0,CE,CE,0,0,0,0,24,2.4,24,CLASS,CCE,2,C,2/15/2017,2/15/2017,3/22/2017,TR,,,,2020-02-02T23:52:27.206Z
27001,2017CE1,S14785,CSP-4000-17307,17307,TR,,MC,Main Campus,8,0,0,0,CE,CE,0,0,0,0,18,1.8,18,CLASS,CCE,2,C,1/10/2017,1/10/2017,2/14/2017,TR,,,,2020-02-02T23:52:27.206Z
27002,2017CE1,S14785,CSP-4000-17308,17308,TR,,MC,Main Campus,12,3,3,0,CE,CE,0,0,0,0,9,0.9,9,CLASS,CCE,2,C,1/11/2017,1/11/2017,1/25/2017,TR,,,,2020-02-02T23:52:27.206Z
