"NON.COURSES.ID","NCRS.DESC","NCRS.SHORT.TITLE","NCRS.CAT.DESC.CC","NCRS.DESIRED.GRADES","NCRS.GRADE.SCHEME","NCRS.DESIRED.SCORE","NCRS.COURSE.EQUIVS","NCRS.MIN.SCORE","NCRS.MAX.SCORE","NCRS.TYPE","DataDatetime"
"TPSPMKTII","","TP Sports & Ent Marketing II","Other Test","","","93","317132","0","100","TEST","2020-01-31T23:03:18.013Z"
"TPCAREER","HS Course ID 6145","Tech Prep Career Mngt 6145","Other Test","","","93","321790","0","100","TEST","2020-01-31T23:03:18.013Z"
"TPECHILDII","","Tech Prep Early Child Cred II","Other Test","","","80","263007","0","100","TEST","2020-01-31T23:03:18.013Z"
"ACTMN","ACT Math No Credits","ACTM NO Credits","Placement","","","0","","0","0","TEST","2020-01-31T23:03:18.013Z"
"TPWELDIII","HS Course ID 7661and 7662 and 7999","Tech Prep Weld 7661+7662+7999","Other Test","","","93","321793","0","100","TEST","2020-01-31T23:03:18.013Z"
"PSATR","","PSAT Reading","Placement","","","0","315583, 337968","0","100","TEST","2020-01-31T23:03:18.013Z"
"TPCARPI","HS Course ID 7721 & 7722","Tech Prep Carpentry 7721&7722","Other Test","","","93","321788","0","100","TEST","2020-01-31T23:03:18.013Z"
"RHGPAM28","RISE GPA 2.8+ (Math Credit). It is used for the, following conditions:, 1. GPA is 2.8 or higher, 2. English course credits have been awarded from, SAT/ACT","Rise 2.8+ Gpa All Math Waivers","Admissions","","","0","345385","0","0","HSGPA","2020-01-31T23:03:18.013Z"
"TPMETALS","","Tech Prep Metals Manufact I","Other Test","","","80","262997","80","100","TEST","2020-01-31T23:03:18.013Z"
"TPBUSINESS","","Tech Prep Business & Finance","Other Test","","","80","262999","80","100","TEST","2020-01-31T23:03:18.013Z"
"TPCONSTI","HS Course ID 7721","Tech Prep Construction I","Other Test","","","80","262355","80","100","TEST","2020-01-31T23:03:18.013Z"
"DMAW30","DMA 030 Waiver; completed DMA 030 at another CC","DMA 030 Waiver","Other Test","","","5555","321329","5555","5555","TEST","2020-01-31T23:03:18.029Z"
"ASTR","Reading Placement Test","ASSET Reading","Placement","","","0","262278","23","55","TEST","2020-01-31T23:03:18.029Z"
"TEAS","TEAS Nursing Admissions Assessment","TEAS Nursing Assessment","Admissions","","","0","","0","0","TEST","2020-01-31T23:03:18.029Z"
"DMA020","Diagnostic Test for DMA 020 Fractions and Decimals","DMA020 Fractions and Decimals","Other Test","","","7","321314","1","12","TEST","2020-01-31T23:03:18.029Z"
"PLANR","","PLAN Reading","Placement","","","17","316431","1","32","TEST","2020-01-31T23:03:18.029Z"
