"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"AC.DESC","","","","","","","","","30","$UC.WORD","","L","","","","","","","","","","","","","","","","0","","","","","30L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","0","1993-02-08","AUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCEPTED.ITEMS.ID","","","","","","","K","","1","","Items ID","R","","* Normally does not show on screens, OUTPUT.DATA = """"","123","N","","","","","","","","","","","","0","","","","","1R","","","","","","","","10","","","","","","","This is the key to the ITEMS file.","","","Items ID","","","","","","","","","","","","ACCEPTED.ITEMS","","","0","1993-02-12","RLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCOUNT.ID","","","","","","","D","","25","","","L","","","01_0000_00000","","","","","","","","","","","","","6","","","","","25L","","","","","","","","30","","","","","","","Return Link for GL.ACCTS file","","","","","","","","","","","","","","","GLS.FYR","","","0","1988-05-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCOUNT.NO.FMT","","","","","","","P","","20","","","L","","","## #### #####","","","","","","","","","","","","","0","","","","","20L","","","BATCH.DATA = LEN(V.ACCT.MASK[2,20]), IF LEN(BATCH.DATA) THEN, IF BATCH.DATA > 20 THEN, BATCH.DATA = ""L#20"", END ELSE, BATCH.DATA = V.ACCT.MASK, END, END","","","","","0","","ACCT.MASK","GLSTRUCT.ID","N","","","To return the format as described in the account structure, record.","","","","","","","","","","","","","","","","","","0","1989-02-07","KIM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.BAL.BUDGENTS.FLAG","","","","","","","D","N","3","$YN","Force Budget Journals to Balance","L","","$YN","N","N","","","","","","","","","","","","21","","","","","3L","","","","","","","","1","","","","","","","This flag controls whether Budget Journals will be forced, to balance. 'Y' or null forces them to balance., 'N' allows unbalanced budget journals to post.","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-01-20","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0",""
"ACCT.CFB.FUNDS","","","","","","","L","N","5","","Fund","L","","","10","N","","","","","","","","","","","","28","","","","","5L","","","","","","","","0","","","","","","","","","","Fund","","","","","","","","","","","","GLSTRUCT","","","0","1995-06-21","TGK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.CFB.MASK","","","","","","","D","N","25","","Cross Fund Balancing Mask","L","","","#############","N","","","","","","","","","","","","27","","","","","25L","","","","","","","","30","","","","","","","","","","Cross Fund Balancing Mask","","","","","","","","","","","","GLSTRUCT","","","0","1995-06-21","TGK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.CHECK.AVAIL.FUNDS","","","","","","","D","N","3","$YN","Check Available Funds for Expenses","L","","$YN","Y","N","","","","","","","","","","","","24","","","","","3L","","","","","","","","1","","","","","","","Enter a ""Y"" if available funds are to be tested, otherwise, enter an ""N"". Default value is ""N"".","","","","","","","","","","","","","","","GLSTRUCT","","","0","1989-11-13","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACCT.COMPONENT.TYPE","","","","","","","A","N","14","","Component Type","L","","TRANSLATE ' '","FC - Function","N","","","","","","","","GLMAJOR","D","","","17","","","","","14L","","","","","","","","2","","","","","","","This code relates the user's component name to standard, COLLEAGUE GL number component types.","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-07-13","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","$VR.ACCT.COMPONENT.TYPES","2",""
"ACCT.DLM","","","","","","","D","N","1","EDITED.DATA = TRIMF(ICONV(EDITED.DATA,'MCU'))[1,1], IF EDITED.DATA AND (INDEX('SN*-.',EDITED.DATA,1)) THEN, END ELSE, ERROR.OCCURRED = 1, MSG = 'Enter (S)pace, (N)ull or other reasonable delimiter (* - .)', END","Report Delimiter","L","","","_","N","","","","","","","","","","","","13","","","","","1L","","","","","","","","0","","","","","","","General Ledger Account Structure:, Major component delimiter character","","","","","","","","","","","","","","","GLSTRUCT","","","0","1988-06-27","SKIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
