"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"AC.DESC","","","","","","30","","","","","","","","","","","","","","0","","30L","0","","","","","","1993-02-08","AUS","","","2020-05-27T14:54:46.090Z"
"ACCEPTED.ITEMS.ID","","","","K","","1","Items ID","123","N","","","","","","","","","","","0","","1R","10","This is the key to the ITEMS file.","Items ID","ACCEPTED.ITEMS","","","1993-02-12","RLP","","","2020-05-27T14:54:46.512Z"
"ACCOUNT.ID","","","","D","","25","","01_0000_00000","","","","","","","","","","","","6","","25L","30","Return Link for GL.ACCTS file","","GLS.FYR","","","1988-05-27","SKIP","","","2020-05-27T14:54:45.762Z"
"ACCOUNT.NO.FMT","","","","P","","20","","## #### #####","","","","","","","","","","","","0","","20L","0","To return the format as described in the account structure, record.","","","","","1989-02-07","KIM","","","2020-05-27T14:54:46.355Z"
"ACCT.BAL.BUDGENTS.FLAG","","","","D","N","3","Force Budget Journals to Balance","N","N","","","","","","","","","","","21","","3L","1","This flag controls whether Budget Journals will be forced, to balance. 'Y' or null forces them to balance., 'N' allows unbalanced budget journals to post.","","GLSTRUCT","Y","","1989-01-20","RGH","","","2020-05-27T14:54:47.137Z"
"ACCT.CFB.FUNDS","","","","L","N","5","Fund","10","N","","","","","","","","","","","28","","5L","0","","Fund","GLSTRUCT","N","","1995-06-21","TGK","","","2020-05-27T14:54:46.184Z"
"ACCT.CFB.MASK","","","","D","N","25","Cross Fund Balancing Mask","#############","N","","","","","","","","","","","27","","25L","30","","Cross Fund Balancing Mask","GLSTRUCT","N","","1995-06-21","TGK","","","2020-05-27T14:54:45.918Z"
"ACCT.CHECK.AVAIL.FUNDS","","","","D","N","3","Check Available Funds for Expenses","Y","N","","","","","","","","","","","24","","3L","1","Enter a ""Y"" if available funds are to be tested, otherwise, enter an ""N"". Default value is ""N"".","","GLSTRUCT","N","","1989-11-13","SKIP","","","2020-05-27T14:54:47.637Z"
"ACCT.COMPONENT.TYPE","","","","A","N","14","Component Type","FC - Function","N","","","","","","","GLMAJOR","D","","","17","","14L","2","This code relates the user's component name to standard, COLLEAGUE GL number component types.","","GLSTRUCT","Y","$VR.ACCT.COMPONENT.TYPES","1988-07-13","RGH","","","2020-05-27T14:54:46.980Z"
"ACCT.DLM","","","","D","N","1","Report Delimiter","_","N","","","","","","","","","","","13","","1L","0","General Ledger Account Structure:, Major component delimiter character","","GLSTRUCT","N","","1988-06-27","SKIP","","","2020-05-27T14:54:46.074Z"
