"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"AARS","","","","X","N","30","AARS","","N","","","","","","","","","","AARS.PERSON.ID","200","","30L","10","Contains pointer to Alumni Area Representative","Alumni Area, Representative","PERSON","N","","1995-04-13","STEVEN","","","2020-05-27T14:56:18.384Z"
"AARS.FIRST.NAME","","","","D","","30","","","","","","","","","","","","","","3","","30L","30","First name of logical view of Person","","AARS.PERSON","","","1995-04-13","STEVEN","","","2020-05-27T14:56:15.571Z"
"AARS.LAST.NAME","","","","D","","30","","","","","","","","","","","","","","1","","30L","30","Last name from logical view of Person","","AARS.PERSON","","","1995-04-13","STEVEN","","","2020-05-27T14:56:19.009Z"
"AARS.MIDDLE.NAME","","","","D","","30","","","","","","","","","","","","","","4","","30L","30","Middle name from logical view to Person","","AARS.PERSON","","","1995-04-13","STEVEN","","","2020-05-27T14:56:15.243Z"
"AARS.PERSON.ID","","","","K","","7","","","N","","","","","","","","","","","0","","7R","10","Key to logical view of Person","","AARS.PERSON","","","1995-04-13","STEVEN","","","2020-05-27T14:56:16.431Z"
"ACAD.ACAD.LEVEL","","","","D","N","30","Academic Level","UG Undergraduate","N","OTHER.ACAD.LEVELS.ID","","","","","","","","","","16","","30L","5","Single valued pointer to OTHER.ACAD.LEVELS file.  Used to identify the, level of education for the post secondary instutitons being defined.","Academic, Level","ACAD.CREDENTIALS","N","OTHER.ACAD.LEVELS","1994-12-16","SSS","","","2020-05-27T14:56:15.743Z"
"ACAD.ACAD.PROGRAM","","","","D","N","20","Acad Program","","N","","","","","","","","","","","48","","20L","20","This is the academic program in which this academic, credential was received.  It is updated by the UACF, (ACJ025) process in ST and is not meant to be, modified by users.  It was needed for the IPEDS, Completions Survey, which is a report that, needs the CIP code of an academic program for, degrees conferred.","Acad Program","ACAD.CREDENTIALS","N","","1996-08-22","SMG","","","2020-05-27T14:56:17.150Z"
"ACAD.ACPG.CIP","string xResult1; , xResult1 = SGetAcadProgramCip(vAcadAcadProgram);, return xResult1;","","","I","N","9","","","N","","","","","","","","","","","0","","9L","0","Returns the CIP code of the academic program for, an acad credential., , This program resides in ST and therefore won't gen, in PL/SQL.  Since the field isn't used anywhere , though, I'm marking it as Unidata only.","Acad Program CIP","ACAD.CREDENTIALS","N","","1997-08-29","JOSH","","","2020-05-27T14:56:19.415Z"
"ACAD.AWARDS","","","","L","N","65","Awards","JC of the Year","N","","","","","","","","","","","13","","65L","65","This is a free form field for entering any special, awards received by the person.","Awards","ACAD.CREDENTIALS","N","","1991-08-05","MKB","","","2020-05-27T14:56:15.712Z"
"ACAD.CAST.DATE","string xResult1; , xResult1 = SAcadCastDate(vAcadCredentialsId);, return (date)((int)xResult1);","","D","I","N","8","","","N","","N","2","/","","","","","","","0","D2/","8R","0","Created for California MIS reporting. The CAST.SP extract, needs a data element to hold either the ACAD.DEGREE.DATE, or the first ACAD.CCD.DATE for use in the list specifications., * Premiere System Support * 09/29/2002 * Robert L Davis *, Replaced ""IF"" statement for compatibility with ORACLE","Award Date","ACAD.CREDENTIALS","N","","1997-07-28","BJC","","","2020-05-27T14:56:18.400Z"
"ACAD.CCD","","","","L","N","30","CCD","CPA","N","OTHER.CCDS.ID","","","","","","","","","","7","","30L","5","Multi-valued pointer to OTHER.CCDS (credential, certificate, diploma), file.  Displayed but not otherwise used by the system.","CCD","ACAD.CREDENTIALS","N","OTHER.CCDS","1994-12-16","SSS","","","2020-05-27T14:56:16.634Z"
"ACAD.CCD.DATE","","","D","L","N","8","Certificate Date","05/26/13","N","","N","2","/","","","","","","","8","D2/","8R","8","Date the CCD (credential, certificate, diploma) was awarded.  (Display varies , according to institution parameters.)  Displayed but not otherwise used by the , system.","CDD Date","ACAD.CREDENTIALS","N","","1994-12-16","SSS","","","2020-05-27T14:56:15.618Z"
"ACAD.CERT.ACAD.LEVELS","","","","A","N","23","Certified Acad Level","","N","OTHER.ACAD.LEVELS.ID","","","","","","ACAD.CATEGORY.CERT","K","","","49","","23L","5","List of academic levels from OTHER.ACAD.LEVELS code file, to say what academic level this credential certifies, this person to teach.  Used to determine if this person, can teach a course section.  If entered, one of the, values in this field has to match the academic level of, the course section, or else the faculty member should not, be assigned to the section.","Cert Acad, Levels","ACAD.CREDENTIALS","N","OTHER.ACAD.LEVELS","1997-11-18","SMG","","","2020-05-27T14:56:16.071Z"
"ACAD.CERT.COURSE.LOCATIONS","","","","A","N","24","Certified Location","","N","LOCATIONS.ID","","","","","","ACAD.COURSE.CERT","D","","","53","","24L","5","The location at which the associated course, may be taught.  Used when assigning faculty, to a course section; if the location of the, section does not match this location for the, associated course during the specified dates,, a warning will be issued.","Cert Locations","ACAD.CREDENTIALS","N","LOCATIONS","1997-11-18","SMG","","","2020-05-27T14:56:19.321Z"
"ACAD.CERT.COURSES","","","","A","N","45","Certified Course","","N","","","","","","","ACAD.COURSE.CERT","K","","","52","","45L","10","List of courses this credential certifies this, person to teach.  If there are any entries here,, the faculty member can only be assigned to course, sections that correspond to one of these entries., The faculty member can also teach a cross-listed, version of the course; for example, if one entry, is ENGL100, and ENGL100 is cross listed as LIT110,, then the faculty member can be assigned to LIT110, as well., , Note that if courses are entered, those override, anything else entered for a faculty certification, for the dates of the certification.  The only, location used in conjunction with the course is, the one in the course group., , For example, if a person can teach ENGL100 at, location WEST from 1/1/96 - 5/5/96, then only, ENGL100 sections at location WEST active during, those dates should be assigned to the faculty, member during those dates.  If, however, the, person is also qualified to teach 100-level, courses for dates outside that range, then a, course level 100 can be entered.  This would, mean the faculty member will be qualified to, teach any 100-level course outside the date range., (The course level qualifications would be entered, on the ST FQAL/FIS007 screen.)","Cert Courses","ACAD.CREDENTIALS","N","","1997-11-18","SMG","","","2020-05-27T14:56:15.775Z"
