"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ABCDEABCDEABCDEABCDEABCDE","","","","","","0","","","","","","","","","","","","","","0","","","0","","","","","","1998-07-16","SSS","","","2020-05-27T14:58:20.617Z"
"ABD.AUTHORIZED.DATE","","","","D","N","10","Authorized Date","12/31/14","N","","","","","","","","","","","4","D2/","10R","8","Date these ACA benefit details were authorized","Authorized Date","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:20.023Z"
"ABD.BENDED.DESC","string xResult1; , key xKeyBended for file Bended;, xKeyBended = vAbdBenefitId; xResult1 = vBdDesc;, return xResult1;","","","I","N","30","","","N","","","","","","","","","","","0","","30L","0","","Benefit/Deduction Desc","ACA.BENEFIT.DETAILS","N","","2015-01-08","0003980","","","2020-05-27T14:58:23.758Z"
"ABD.BENEFIT.ID","","","","X","N","4","Benefit ID","BFHM","N","","","","","","","","","","BENDED.ID","1","","4L","4","Benefit ID that relates to this set of ACA details","Benefit ID","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:21.805Z"
"ABD.CALC.COBRA.COST.SUBR","","","","D","N","30","Monthly COBRA Cost Subroutine","S.CALC.COBRA.COST","N","","","","","","","","","","","23","","30L","30","To provide a hook to an external program that , calculates the employee share of the monthly COBRA cost of the benefit.","Monthly COBRA, Cost Subroutine","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:19.711Z"
"ABD.CALC.MONTHLY.COST.SUBR","","","","D","N","30","Monthly Employee Cost Subroutine","","N","","","","","","","","","","","16","","30L","30","To provide a hook to an external program that , calculates the employee share of the monthly cost of the benefit.","Monthly Employee, Cost Subroutine","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:23.273Z"
"ABD.CONDITIONAL.OFFER","","","","D","N","3","","","N","","","","","","","","","","","24","","3L","1","","","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:22.102Z"
"ABD.COVERAGE.END.METHOD","","","","D","N","32","Coverage End Method","DAYOUT","N","","","","","","","","","","","19","","32L","10","Method used to calculate the end date of coverage.","Coverage End, Method","ACA.BENEFIT.DETAILS","N","$VR.ACA.COVERAGE.END.METHODS","","","","","2020-05-27T14:58:23.398Z"
"ABD.COVERAGE.END.SUBR","","","","D","N","30","Coverage End Subr","S.SUBROUTINE.NAME","N","","","","","","","","","","","21","","30L","30","Subroutine to use to calculate coverage end date if an , institutions calculation methods are not covered by one of the standard , calculation methods.","Coverage End, Subr","ACA.BENEFIT.DETAILS","N","","","","","","2020-05-27T14:58:23.836Z"
"ABD.COVERAGE.START.METHOD","","","","D","N","32","Coverage Start Method","DAYIN","N","","","","","","","","","","","18","","32L","10","Method used to calculate the start date of coverage.","Coverage Start, Method","ACA.BENEFIT.DETAILS","N","$VR.ACA.COVERAGE.START.METHODS","","","","","2020-05-27T14:58:23.320Z"
