"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ACTUAL.HELP.ID","","","","P","","28","","ELEMENT.NAME","","","","","","","","","","","","0","","28L","0","This field is only valid for Sysnonym type HElp Records., If present it the ID of the field that contains the actual, help text.","","","","","1988-04-01","VPN","","","2020-06-01T17:13:41.889Z"
"ALTERNATE.DICTIONARIES","","","","L","","8","","STUDENTS","N","","","","","","","","","","","52","","8L","8","Translate I_DESCRIPTORs are automatically generated, for those dictionaries listed in this field","","TOOLCDD","","","1989-02-02","RGH","","","2020-06-01T17:13:42.029Z"
"ANALYST.ID","","","","K","","8","","RGH","","","","","","","","","","","","0","","8L","6","Login ID of the analyst using the system","","TOOLOPER","N","","1987-11-14","RGH","","","2020-06-01T17:13:41.904Z"
"ANALYST.LAST.LOGIN.TIME","","","T","D","","5","","","","","N","2",":","","","","","","","8","MT","5L","5","Time an analyst last logged on","","TOOLOPER","N","","1987-11-15","RGH","","","2020-06-01T17:13:41.311Z"
"ANALYST.LAST.SESSION.DATE","","","D","D","","8","Last Session","9500","","","N","2","/","","","","","","","7","D2/","8R","5","Date an analyst last logged on (toolkit view)","Last Session","TOOLOPER","N","","1987-11-14","RGH","","","2020-06-01T17:13:41.576Z"
"ANALYST.NAME","","","","D","","30","","Richard Henninger","","","","","","","","","","","","16","","30L","30","Name of an analyst","","TOOLOPER","Y","","1987-11-14","RGH","","","2020-06-01T17:13:41.670Z"
"ANALYST.TRPOST.ROUTINE","","","","D","","18","","","","","","","","","","","","","","23","","18L","18","Name of the routine to call to log time spent on, various TR's.","","TOOLOPER","Y","","1987-11-16","RGH","","","2020-06-01T17:13:41.482Z"
"ANALYST.TRQRY.ROUTINE","","","","D","","18","","S.TOOL.TRQRY","","","","","","","","","","","","22","","18L","18","List of TR#'s for an analyst on a given project.","","TOOLOPER","Y","","1987-11-16","RGH","","","2020-06-01T17:13:41.904Z"
"APPL.PRE37.INQ.INP","","","","D","N","3","","","N","","","","","","","","","","","23","","3L","1","Flag to set application's default mode for INQUIRY flds","","APPL.CTL","N","","1993-10-05","RGH","","","2020-06-01T17:13:41.904Z"
"APPLICATION.BASE.MODULE","","","","D","N","5","","UT","N","","","","","","","","","","","16","","5L","5","Indicates which (if any) of the application's modules, can be considered essential to the running of all the rest","","APPL.CTL","N","","1990-12-21","RGH","","","2020-06-01T17:13:41.545Z"
"APPLICATION.CENTER.HEADER","","","","D","N","21","Menu's Centered Header","General Ledger","N","","","","","","","","","","","2","","21L","35","The string which is to appear in the center of the 2nd, line of an application's menus.","","APPL.CTL","N","","1988-07-12","RGH","","","2020-06-01T17:13:41.701Z"
