"DATA.ELEMENT","COMPUTED.COLUMN.CODE","CONVERTED.FROM","DATA.TYPE","DATABASE.USAGE.TYPE","DEFAULT.DISPLAY.SECURE","DEFAULT.DISPLAY.SIZE","DEFAULT.INPUT.PROMPT","DEFAULT.SAMPLE.DATA","DEFAULT.ZERO.PAD","DERIVED.SEC.PTR","DT1","DT2","DT3","DT4","DT5","ELEMENT.ASSOC.NAME","ELEMENT.ASSOC.TYPE","ELEMENT.POINTED.FROM","ELEMENT.POINTED.TO","FIELD.PLACEMENT","INFORM.CONVERSION.STRING","INFORM.FORMAT.STRING","MAXIMUM.STORAGE.SIZE","PURPOSE","REPORT.HEADER","SOURCE","TRUNCATION.FLAG","VALIDATION.TABLE","TOOLCDD.ADD.DATE","TOOLCDD.ADD.OPERATOR","TOOLCDD.CHANGE.DATE","TOOLCDD.CHANGE.OPERATOR","DataDatetime"
"ACCESS.ONLY.CLASS.LIST","","","","L","N","10","Access Only Classes","","N","","","","","","","","","","","3","","10L","20","List of only classes allowed to access this screen","AccessOnly","PRCS.CTL","N","","1986-02-25","RGH","","","2020-06-01T17:05:26.103Z"
"ACCT.DISABLED","","","","D","","16","","","","","","","","","","","","","","3","","16L","0","","","DMIUSRACT","","","2000-01-13","SDK","","","2020-06-01T17:05:26.462Z"
"ACCT.DMIACCT","","","","K","","20","Account","colldev","N","","","","","","","","","","","0","","20L","0","This is the account part of the dmi user/account key, to the dmiusract file","","DMIUSRACT","","","2001-09-17","LNG","","","2020-06-01T17:05:26.056Z"
"ACCT.DMIUSER","string xResult1; , xResult1 = ((vAcctDmiusrid : ""*"" : vAcctDmiacct)).Substring(1, 1, ""*"");, return (string)xResult1;","","","I","","20","","","N","","","","","","","","","","","0","","20L","0","This is used to create an index for the DMIUSRACT, file. DMI will actually issue a Unidata select against, this file when doing a registry lookup.","","DMIUSRACT","","","2001-07-24","LNG","","","2020-06-01T17:05:25.587Z"
"ACCT.DMIUSRID","","","","K","","20","User ID","0019909","N","","","","","","","","","","","0","","20L","0","This is the user id part of the key to the DMIUSRACT, file.","","DMIUSRACT","","","2001-09-17","LNG","","","2020-06-01T17:05:25.774Z"
"ACCT.OPERS","","","","D","","16","","","","","","","","","","","","","","1","","16L","0","","","DMIUSRACT","","","2000-01-13","SDK","","","2020-06-01T17:05:25.071Z"
"ACCT.PERSONID","","","","D","","16","","","","","","","","","","","","","","2","","16L","0","","","DMIUSRACT","","","2000-01-13","SDK","","","2020-06-01T17:05:26.243Z"
"ACTIVE.SESSIONS.ADD.DATE","","","","D","N","10","","","N","","","","","","","","","","","3","D2/","10L","0","","","ACTIVE.SESSIONS","N","","","","","","2020-06-01T17:05:25.149Z"
"ACTIVE.SESSIONS.ADD.TIME","","","","D","N","10","","","N","","","","","","","","","","","4","MTH","10L","0","","","ACTIVE.SESSIONS","N","","","","","","2020-06-01T17:05:25.228Z"
"ACTIVE.SESSIONS.ID","","","","K","N","10","","28347","N","","","","","","","","","","","0","","10L","10","","","ACTIVE.SESSIONS","N","","2013-10-24","JGV","","","2020-06-01T17:05:25.321Z"
"ADD.DATE","","","D","P","","8","Created On","","N","","N","2","/","","","","","","","0","D2/","8R","0","","","","","","1990-08-09","SKIP","","","2020-06-01T17:05:27.212Z"
"ADD.OPERATOR","","","","P","","8","Created By","","N","","","","","","","","","","","0","","8L","16","","","","","","1990-08-09","SKIP","","","2020-06-01T17:05:24.978Z"
"ADF.APPL","","","","A","","6","Application","CORE","N","","","","","","","ADF.APPL.MNEM","D","","","2","","6L","6","Application to which the process is defined","Application","APPL.DEPENDENT.FORMS","","","2011-02-18","KMF","","","2020-06-01T17:05:25.524Z"
"ADF.MNEMONIC","","","","A","","6","Mnemonic","UTMENU","N","","","","","","","ADF.APPL.MNEM","K","","","1","","6L","6","Mnemonic which is application-dependent in nature","Mnemonic","APPL.DEPENDENT.FORMS","","","2011-02-18","KMF","","","2020-06-01T17:05:25.259Z"
"AEC_DATABASE_HOST","","","","D","N","16","","","N","","","","","","","","","","","17","","16L","250","Host name or IP address of the machine containing the environment database.  , This field can be left blank if the database is on the same host as the , listener specified in AEC_DBAS_HOST.","","APPL_ENVIRON_CONFIG","N","","","","","","2020-06-01T17:05:24.931Z"
