"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"ACTUAL.HELP.ID","","","","","","","P","","28","$UC","","L","","","ELEMENT.NAME","","","","","","","","","","","","","0","","","","","28L","","","","","","","","0","","","","","","","This field is only valid for Sysnonym type HElp Records., If present it the ID of the field that contains the actual, help text.","","","","","","","","","","","","","","","","","","0","1988-04-01","VPN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ALTERNATE.DICTIONARIES","","","","","","","L","","8","","","L","","","STUDENTS","N","","","","","","","","","","","","52","","","","","8L","","","","","","","","8","","","","","","","Translate I_DESCRIPTORs are automatically generated, for those dictionaries listed in this field","","","","","","","","","","","","","","","TOOLCDD","ALTERNATE_DICTIONARIES","","0","1989-02-02","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","TOOLCDD_SQL"
"ANALYST.ID","","","","","","","K","","8","$UC","","L","","","RGH","","","","","","","","","","","","","0","","","","","8L","","","","","","","","6","","","","","","","Login ID of the analyst using the system","","","","","","","","","","","","","","","TOOLOPER","ANALYST_ID","","0","1987-11-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLOPER_SQL, DWC_V4, DWC_V4X"
"ANALYST.LAST.LOGIN.TIME","","","","","","T","D","","5","","","L","","","","","","","N","2",":","","","","","","","8","","","","MT","5L","","","","","","","","5","","","","","","","Time an analyst last logged on","","","","","","","","","","","","","","","TOOLOPER","ANALYST_LAST_LOGIN_TIME","","0","1987-11-15","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLOPER_SQL"
"ANALYST.LAST.SESSION.DATE","","","","","","D","D","","8","","Last Session","R","","","9500","","","","N","2","/","","","","","","","7","","","","D2/","8R","","","","","","","","5","","","","","","","Date an analyst last logged on (toolkit view)","","","Last Session","","","","","","","","","","","","TOOLOPER","ANALYST_LAST_SESSION_DATE","","0","1987-11-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","TOOLOPER_SQL"
"ANALYST.NAME","","","","","","","D","","30","","","L","","","Richard Henninger","","","","","","","","","","","","","16","","","","","30L","","","","","","","","30","","","","","","","Name of an analyst","","","","","","","","","","","","","","","TOOLOPER","ANALYST_NAME","","0","1987-11-14","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","TOOLOPER_SQL, 717RENVTEST, 717RENAMETEST, LBVTEST1, LBVTEST2, LKN1, DWC_V4, DWC_V4X"
"ANALYST.TRPOST.ROUTINE","","","","","","","D","","18","$UC","","L","","","","","","","","","","","","","","","","23","","","","","18L","","","","","","","","18","","","","","","","Name of the routine to call to log time spent on, various TR's.","","","","","","","","","","","","","","","TOOLOPER","ANALYST_TRPOST_ROUTINE","","0","1987-11-16","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","TOOLOPER_SQL"
"ANALYST.TRQRY.ROUTINE","","","","","","","D","","18","$UC","","L","","","S.TOOL.TRQRY","","","","","","","","","","","","","22","","","","","18L","","","","","","","","18","","","","","","","List of TR#'s for an analyst on a given project.","","","","","","","","","","","","","","","TOOLOPER","ANALYST_TRQRY_ROUTINE","","0","1987-11-16","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","0","TOOLOPER_SQL"
"APPL.PRE37.INQ.INP","","","","","","","D","N","3","$YN","","L","","$YN","","N","","","","","","","","","","","","23","","","","","3L","","","","","","","","1","","","","","","","Flag to set application's default mode for INQUIRY flds","","","","","","","","","","","","","","","APPL.CTL","APPL_PRE37_INQ_INP","","0","1993-10-05","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
"APPLICATION.BASE.MODULE","","","","","","","D","N","5","$UC","","L","","","UT","N","","","","","","","","","","","","16","","","","","5L","","","","","","","","5","","","","","","","Indicates which (if any) of the application's modules, can be considered essential to the running of all the rest","","","","","","","","","","","","","","","APPL.CTL","APPLICATION_BASE_MODULE","","0","1990-12-21","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","APPL_CTL_SQL"
