"ids","Alternate Dictionaries ","Computed Column Code ","Converted From ","Data Element Synonym ","Data Element Synonym Xref ","Data Type ","Database Usage Type ","Default Display Secure ","Default Display Size ","Default Input Processing ","Default Input Prompt ","Default Justification ","Default Mask ","Default Output Processing ","Default Sample Data ","Default Zero Pad ","Derived Sec Ptr ","Displayed By Xref ","Dt1 ","Dt2 ","Dt3 ","Dt4 ","Dt5 ","Element Assoc Name ","Element Assoc Type ","Element Pointed From ","Element Pointed To ","Field Placement ","I Descriptor ","Index Assn Name ","Index Assn Placement ","Inform Conversion String ","Inform Format String ","Input Prompt Location ","Input Prompt Variable ","Internal Computations ","Just Pad Character ","Key Counter Source ","Logical File Alias ","Lookup Prompt ","Maximum Storage Size ","Modified By Xref ","Permanent Demand Elements ","Permanent Demand Keys ","Permanent Demand Write ","Permanent Init Inserts ","Pointer Deletion Strategy ","Purpose ","Relation File Name ","Relfile Keybuild Strategy ","Report Header ","Sce From Files ","Sce Link Attrs ","Sce Link Subrs ","Sce Recalc Flag Field ","Sce Status Flag ","Sce Subr Args ","Sce Subr Name ","Sce Subr Sources ","Sce To Files ","Sce Trigger Cdds ","Snapshots ","Source ","Sql Compliant Name ","Synonym Field Delimiter ","Synonym Field Position ","Toolcdd Add Date ","Toolcdd Add Operator ","Toolcdd Auto Xref Files ","Toolcdd Auto Xref Keys ","Toolcdd Change Date ","Toolcdd Change Operator ","Toolcdd Demand Subrs ","Toolcdd Dict Changed Ver ","Toolcdd Idesc Smtype ","Toolcdd Lkup Add Mode ","Toolcdd Lkup Arg Var ","Toolcdd Lkup Attr Table ","Toolcdd Lkup Crnt Id Var ","Toolcdd Lkup File Inherit ","Toolcdd Lkup File Name ","Toolcdd Lkup Id List Var ","Toolcdd Lkup Limit New Size ","Toolcdd Lkup Nk Add Option ","Toolcdd Lkup Nk At Once ","Toolcdd Lkup Not Found Hook ","Toolcdd Lkup Post Reso Hook ","Toolcdd Lkup Pre Reso Hook ","Toolcdd Lkup Prompt Text ","Toolcdd Lkup Rec Add Hook ","Toolcdd Lkup Rec Found Hook ","Toolcdd Lkup Reso Hook ","Toolcdd Lkup Sel Conn ","Toolcdd Lkup Sel Field ","Toolcdd Lkup Sel Rel Opcode ","Toolcdd Lkup Sel Stmt ","Toolcdd Lkup Sel Value ","Toolcdd Lkup Sort Fields ","Toolcdd Lkup Sort Order ","Toolcdd Valid Platforms ","Truncation Flag ","Validation Table ","Validation Zero Fill Size ","Views "
"ACCESS.ONLY.CLASS.LIST","","","","","","","L","N","10","$UC","Access Only Classes","L","","","","N","","","","","","","","","","","","3","","","","","10L","","","","","","","","20","","","","","","","List of only classes allowed to access this screen","","","AccessOnly","","","","","","","","","","","","PRCS.CTL","ACCESS_ONLY_CLASS_LIST","","0","1986-02-25","RGH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0","PRCS_CTL_SQL, KRENEK"
"ACCT.DISABLED","","","","","","","D","","16","","","L","","","","","","","","","","","","","","","","3","","","","","16L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","DMIUSRACT","","","0","2000-01-13","SDK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.DMIACCT","","","","","","","K","","20","","Account","L","","","colldev","N","","","","","","","","","","","","0","","","","","20L","","","","","","","","0","","","","","","","This is the account part of the dmi user/account key, to the dmiusract file","","","","","","","","","","","","","","","DMIUSRACT","","","0","2001-09-17","LNG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.DMIUSER","","string xResult1; , xResult1 = ((vAcctDmiusrid : ""*"" : vAcctDmiacct)).Substring(1, 1, ""*"");, return (string)xResult1;","","","","","I","","20","","","L","","","","N","","","","","","","","","","","","0","FIELD((ACCT.DMIUSRID:""*""):ACCT.DMIACCT,""*"",1)","","","","20L","","","","","","","","0","","ACCT.DMIACCT, ACCT.DMIUSRID","","","","","This is used to create an index for the DMIUSRACT, file. DMI will actually issue a Unidata select against, this file when doing a registry lookup.","","","","","","","","","","","","","","","DMIUSRACT","","","0","2001-07-24","LNG","","","","","","","S","","","","","","","","","","","","","","","","","","","","","","","","","U","","","0",""
"ACCT.DMIUSRID","","","","","","","K","","20","","User ID","L","","","0019909","N","","","","","","","","","","","","0","","","","","20L","","","","","","","","0","","","","","","","This is the user id part of the key to the DMIUSRACT, file.","","","","","","","","","","","","","","","DMIUSRACT","","","0","2001-09-17","LNG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.OPERS","","","","","","","D","","16","","","L","","","","","","","","","","","","","","","","1","","","","","16L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","DMIUSRACT","","","0","2000-01-13","SDK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACCT.PERSONID","","","","","","","D","","16","","","L","","","","","","","","","","","","","","","","2","","","","","16L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","DMIUSRACT","","","0","2000-01-13","SDK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"ACTIVE.SESSIONS.ADD.DATE","","","","","","","D","N","10","","","L","","","","N","","","","","","","","","","","","3","","","","D2/","10L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","ACTIVE.SESSIONS","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACTIVE.SESSIONS.ADD.TIME","","","","","","","D","N","10","","","L","","","","N","","","","","","","","","","","","4","","","","MTH","10L","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","ACTIVE.SESSIONS","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
"ACTIVE.SESSIONS.ID","","","","","","","K","N","10","","","L","","","28347","N","","","","","","","","","","","","0","","","","","10L","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","ACTIVE.SESSIONS","","","0","2013-10-24","JGV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","N","","0",""
